Título,Nota,URL,Etiquetas,Comentario
La Musa Latina,,https://www.google.com/maps/place/La+Musa+Latina/data=!4m2!3m1!1s0xd4228780b092501:0x9ccf760355954b44,,
Angus Diner,,https://www.google.com/maps/place/Angus+Diner/data=!4m2!3m1!1s0xd4227e734e69e5d:0x70219f992219898a,,
Taquería María Bonita,,https://www.google.com/maps/place/Taquer%C3%ADa+Mar%C3%ADa+Bonita/data=!4m2!3m1!1s0xd422722dc1df8b1:0x18343c2cdca4355a,,
Pajaritos Mojados,,https://www.google.com/maps/place/Pajaritos+Mojados/data=!4m2!3m1!1s0xd4227d653c3c401:0x1956b3b60f25f940,,
PISCOMAR Cebichería by Jhosef Arias,,https://www.google.com/maps/place/PISCOMAR+Cebicher%C3%ADa+by+Jhosef+Arias/data=!4m2!3m1!1s0xd4227554c6b5fe9:0xfd4620d00a702665,,
Bipolar casa de comidas 2.0,,https://www.google.com/maps/place/Bipolar+casa+de+comidas+2.0/data=!4m2!3m1!1s0xd4227d03c077a59:0xcab20209a88cf154,,
Restaurante El Sueño de Carmen,,https://www.google.com/maps/place/Restaurante+El+Sue%C3%B1o+de+Carmen/data=!4m2!3m1!1s0xd4227402cbfe86b:0x147f1f1b2bf3b556,,
Restaurante Casajari,,https://www.google.com/maps/place/Restaurante+Casajari/data=!4m2!3m1!1s0xd4227cc8d01c3a3:0xf3c039452fcdf7ef,,
Chaotianmen hot pot,,https://www.google.com/maps/place/Chaotianmen+hot+pot/data=!4m2!3m1!1s0xd4229325e1b9519:0xab3291e60fb9691b,,
Embarcadero26,,https://www.google.com/maps/place/Embarcadero26/data=!4m2!3m1!1s0xd42272fe6210b3f:0xf1e9d201c8758531,,
Restaurante BAMMBAO,,https://www.google.com/maps/place/Restaurante+BAMMBAO/data=!4m2!3m1!1s0xd42279d9cf3f8f3:0x2ae3d36b0cebf33a,,
ROOI ROOK MÓSTOLES,,https://www.google.com/maps/place/ROOI+ROOK+M%C3%93STOLES/data=!4m2!3m1!1s0xd418de996d8dd21:0x6032a348555d1989,,
La Cúspide Móstoles - Restaurante Peruano,,https://www.google.com/maps/place/La+C%C3%BAspide+M%C3%B3stoles+-+Restaurante+Peruano/data=!4m2!3m1!1s0xd418dcf44f4c6e5:0xfc37c67da0925fde,,
Lynch - Food and Cocktails,,https://www.google.com/maps/place/Lynch+-+Food+and+Cocktails/data=!4m2!3m1!1s0xd422970d20c8c7f:0x8d33ec652aecd3ea,,
Nugu Burger,,https://www.google.com/maps/place/Nugu+Burger/data=!4m2!3m1!1s0xd4221f35c051405:0x1461f29c849c476,,
小笼 Little Dragon,,https://www.google.com/maps/place/%E5%B0%8F%E7%AC%BC+Little+Dragon/data=!4m2!3m1!1s0xd42299c20c9e1b5:0xdbd9c95f963b860b,,
Tabanco Amores l Restaurante Sin Gluten,opciones gluten free,https://www.google.com/maps/place/Tabanco+Amores+l+Restaurante+Sin+Gluten/data=!4m2!3m1!1s0xd4227fefa25d395:0xa4afff78178e8c21,,
ULTRAMARINES DEL COSO | TRAFALGAR,,https://www.google.com/maps/place/ULTRAMARINES+DEL+COSO+%7C+TRAFALGAR/data=!4m2!3m1!1s0xd42290054a32403:0x3a302f416d754d0b,,
ULTRAMARINES DEL COSO | SAN JOAQUÍN,,https://www.google.com/maps/place/ULTRAMARINES+DEL+COSO+%7C+SAN+JOAQU%C3%8DN/data=!4m2!3m1!1s0xd4229789574dda7:0xcedccc8c576f9fe5,,
Lazzaroni Trattoria,,https://www.google.com/maps/place/Lazzaroni+Trattoria/data=!4m2!3m1!1s0xd41844281f3df93:0x92c80d5c0cb28f89,,
Manolita Chen,,https://www.google.com/maps/place/Manolita+Chen/data=!4m2!3m1!1s0xd4229c071ad07a9:0x5507f9d498bb5150,,
Restaurante Maddock,,https://www.google.com/maps/place/Restaurante+Maddock/data=!4m2!3m1!1s0xd4228f2ebb92ff3:0xa3434c6f085f3716,,
Restaurante Piri Piri al Carbón,,https://www.google.com/maps/place/Restaurante+Piri+Piri+al+Carb%C3%B3n/data=!4m2!3m1!1s0xd422960c0018f01:0xaf242d07ba5963f,,
Piri Piri al Carbón,,https://www.google.com/maps/place/Piri+Piri+al+Carb%C3%B3n/data=!4m2!3m1!1s0xd4227659f65002f:0x435c1e87eac16e7f,,
EL REY DE LOS TACOS,,https://www.google.com/maps/place/EL+REY+DE+LOS+TACOS/data=!4m2!3m1!1s0xd42287b6ad361cd:0x38abed0292e17ec2,,
El rey de los tacos,,https://www.google.com/maps/place/El+rey+de+los+tacos/data=!4m2!3m1!1s0xd4229138cd23c47:0x486044a61cd88546,,
El Rey de los Tacos,,https://www.google.com/maps/place/El+Rey+de+los+Tacos/data=!4m2!3m1!1s0xd4229cb8b22ae59:0x21b5f78b008a9258,,
El Rey de los Tacos,,https://www.google.com/maps/place/El+Rey+de+los+Tacos/data=!4m2!3m1!1s0xd42287bbbfb4a8d:0x4e857118371b0246,,
La Bajada Street Food - Ópera - Madrid Centro - Restaurante Peruano,,https://www.google.com/maps/place/La+Bajada+Street+Food+-+%C3%93pera+-+Madrid+Centro+-+Restaurante+Peruano/data=!4m2!3m1!1s0xd42293480325ec9:0x3e2a5848c9e196a4,,
Casa Marius,,https://www.google.com/maps/place/Casa+Marius/data=!4m2!3m1!1s0xd4228859c52a273:0x3947622401e9713f,,
San Angelinn,,https://www.google.com/maps/place/San+Angelinn/data=!4m2!3m1!1s0xd4229f8c65371f5:0x53e5ef1dfb7ef1a1,,
Restaurante Benares Madrid,,https://www.google.com/maps/place/Restaurante+Benares+Madrid/data=!4m2!3m1!1s0xd42288e130665df:0x45dcb8df2923eaa2,,
Sushi Bar Tottori (Lagasca),,https://www.google.com/maps/place/Sushi+Bar+Tottori+(Lagasca)/data=!4m2!3m1!1s0xd4229d8aafabd2f:0x44f7aace3ffb4707,,
Llagar La Llobera,,https://www.google.com/maps/place/Llagar+La+Llobera/data=!4m2!3m1!1s0xd42297b13bf444d:0xb324245f429f429e,,
Mandrake Greek Street Food,,https://www.google.com/maps/place/Mandrake+Greek+Street+Food/data=!4m2!3m1!1s0xd42270e456096f3:0x8a12ddeb79a64a7,,
The Irish Temple,,https://www.google.com/maps/place/The+Irish+Temple/data=!4m2!3m1!1s0xd4225f053eb9965:0x1fe5c4b51111dc44,,
Restaurante Santancha,,https://www.google.com/maps/place/Restaurante+Santancha/data=!4m2!3m1!1s0xd4229a1d8c080b7:0x4d00ceb82b9575d4,,
Restaurante AREDNA,,https://www.google.com/maps/place/Restaurante+AREDNA/data=!4m2!3m1!1s0xd42291e1a951057:0x283002905351db07,,
Döggo,,https://www.google.com/maps/place/D%C3%B6ggo/data=!4m2!3m1!1s0xd422993eede70e3:0xa0ebcb1f2c0b62fa,,
MisterO1 Extraordinary pizza,,https://www.google.com/maps/place/MisterO1+Extraordinary+pizza/data=!4m2!3m1!1s0xd42293fee286585:0x4ed6350d8424d84e,,
Mama Chicó | Restaurante Malasaña,,https://www.google.com/maps/place/Mama+Chic%C3%B3+%7C+Restaurante+Malasa%C3%B1a/data=!4m2!3m1!1s0xd422990ed30cb13:0xb57bbc76eef99fe8,,
Sra. Smith,,https://www.google.com/maps/place/Sra.+Smith/data=!4m2!3m1!1s0xd4229f564d1f74b:0x7a64b8c2445debb,,
Trek Taco Madrid,,https://www.google.com/maps/place/Trek+Taco+Madrid/data=!4m2!3m1!1s0xd4229603f20bcaf:0xcfb0201553c9bbff,,
Restaurante Vinitus,bueno bonito barato,https://www.google.com/maps/place/Restaurante+Vinitus/data=!4m2!3m1!1s0xd4229da4881c4fd:0xfd95dfdda11c0775,,
